host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,name_length,description_length,host_about_length,bathroom,bathroom_type,host_verifications_count,amenities_count,days_joined
within a few hours,100,NA,FALSE,2,2,TRUE,Woodlands,North Region,1.44255,103.7958,apartment,Private room,1,1,1,80,180,360,180,180,360,360,180,360,30,60,90,365,1,0,0,94,10,10,10,10,8,8,FALSE,2,0,2,0,0.01,33,1000,326,1,Other,9,7,3726
a few days or more,0,NA,FALSE,1,1,TRUE,Bukit Timah,Central Region,1.33235,103.78521,apartment,Private room,2,1,1,80,90,730,90,90,730,730,90,730,30,60,90,365,18,0,0,91,9,10,10,10,9,9,FALSE,1,0,1,0,0.22,31,589,79,1,Other,8,12,3768
within a few hours,100,NA,FALSE,2,2,TRUE,Woodlands,North Region,1.44246,103.79667,apartment,Private room,1,1,1,66,6,14,6,6,14,14,6,14,30,60,90,365,20,0,0,98,10,10,10,10,8,9,FALSE,2,0,2,0,0.17,11,880,326,1,Other,9,8,3726
within an hour,100,100,FALSE,8,8,TRUE,Tampines,East Region,1.34541,103.95712,villa,Private room,6,2,3,174,90,1125,90,90,1125,1125,90,1125,30,60,90,365,20,0,0,89,9,8,9,10,9,9,TRUE,8,0,8,0,0.18,35,1000,772,1,Private,5,25,3625
within an hour,100,100,FALSE,8,8,TRUE,Tampines,East Region,1.34567,103.95963,house,Private room,3,1,1,80,90,1125,90,90,1125,1125,90,1125,30,60,90,365,24,0,0,83,8,8,9,9,8,8,TRUE,8,0,8,0,0.21,30,990,772,0.5,Shared,5,21,3625
within an hour,100,100,FALSE,8,8,TRUE,Tampines,East Region,1.34702,103.96103,house,Private room,3,1,2,80,90,1125,90,90,1125,1125,90,1125,30,60,90,365,48,0,0,88,9,9,9,9,9,9,FALSE,8,0,8,0,0.4,26,996,772,0.5,Shared,5,16,3625
within an hour,100,100,FALSE,8,8,TRUE,Tampines,East Region,1.34348,103.96337,house,Private room,6,1,7,203,1,120,11,12,1125,1125,11.9,1125,30,60,90,180,29,0,0,82,9,8,9,9,9,8,TRUE,8,0,8,0,0.25,32,772,772,1,Shared,5,22,3625
within a few hours,100,50,FALSE,6,6,TRUE,Newton,Central Region,1.31125,103.83816,apartment,Private room,2,1,1,72,90,1125,90,90,1125,1125,90,1125,30,60,90,365,133,0,0,89,9,9,9,10,9,9,FALSE,7,1,6,0,1.21,30,990,104,1,Shared,7,24,3300
a few days or more,40,27,FALSE,1,1,TRUE,Geylang,Central Region,1.31698,103.89,apartment,Private room,1,1,1,41,8,1125,8,8,1125,1125,8,1125,11,41,71,71,105,2,0,90,9,8,10,9,10,9,FALSE,1,0,1,0,1.19,48,1000,33,1,Other,5,16,3289
within an hour,100,100,FALSE,8,8,TRUE,Tampines,East Region,1.34943,103.95951,house,Private room,1,1,1,46,90,365,90,90,1125,1125,90,1125,30,60,90,365,58,1,0,92,9,9,10,9,9,9,TRUE,8,0,8,0,0.54,32,548,772,1.5,Shared,5,27,3625
N/A,NA,NA,FALSE,1,1,TRUE,Geylang,Central Region,1.3142,103.90232,townhouse,Private room,2,1,1,65,90,1125,90,90,1125,1125,90,1125,23,53,83,173,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,1,0,1,0,NA,47,683,NA,1,Shared,6,12,3242
within a few hours,100,50,FALSE,6,6,TRUE,Newton,Central Region,1.3115,103.83759,private room,Private room,2,1,1,69,90,1125,90,90,1125,1125,90,1125,30,60,90,365,81,0,0,90,9,9,10,10,9,9,FALSE,7,1,6,0,0.91,31,533,104,1,Other,7,24,3300
within a few hours,100,50,FALSE,6,6,TRUE,Novena,Central Region,1.31327,103.8398,townhouse,Private room,2,1,1,66,90,1125,90,90,1125,1125,90,1125,30,60,90,365,165,0,0,88,9,8,10,10,10,9,FALSE,7,1,6,0,1.54,27,999,104,1,Shared,7,22,3300
within an hour,100,NA,FALSE,1,1,FALSE,River Valley,Central Region,1.29345,103.83562,apartment,Private room,1,1,1,59,90,365,90,90,365,365,90,365,2,2,2,274,27,0,0,86,9,8,9,9,9,8,FALSE,1,0,1,0,0.3,36,999,206,0,Other,3,11,3209
within an hour,100,100,FALSE,8,8,TRUE,Tampines,East Region,1.34838,103.9592,house,Private room,3,1,2,80,90,1125,90,90,1125,1125,90,1125,0,0,0,0,18,1,0,89,9,9,9,9,9,9,FALSE,8,0,8,0,0.18,31,999,772,1,Private,5,30,3625
within an hour,100,100,FALSE,1,1,TRUE,Serangoon,North-East Region,1.3628,103.86446,house,Private room,2,1,0,80,2,180,2,2,180,180,2,180,30,60,90,365,82,0,0,94,9,9,10,10,9,9,FALSE,1,0,1,0,0.78,49,999,627,1.5,Shared,6,7,3159
a few days or more,0,NA,FALSE,1,1,TRUE,Tampines,East Region,1.34657,103.95684,apartment,Private room,2,1,1,93,1,1125,1,1,1125,1125,1,1125,30,60,90,365,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,1,0,1,0,NA,34,202,315,1,Other,7,6,3412
N/A,NA,NA,FALSE,1,1,FALSE,Tampines,East Region,1.34816,103.93238,apartment,Private room,2,1,1,37,180,730,180,180,730,730,180,730,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,1,0,1,0,NA,34,995,86,1,Other,3,7,3152
within a few hours,100,100,TRUE,3,3,FALSE,Jurong West,West Region,1.34135,103.71139,condominium,Private room,1,1,1,54,90,730,90,90,730,730,90,730,30,60,90,365,30,2,0,92,10,9,10,10,9,9,FALSE,4,0,4,0,0.3,37,996,231,1,Shared,7,23,3414
a few days or more,0,NA,FALSE,1,1,TRUE,Bukit Timah,Central Region,1.33171,103.79383,apartment,Entire home/apt,2,2,1,264,4,90,4,4,90,90,4,90,27,57,87,362,11,0,0,91,9,8,10,10,9,9,FALSE,1,1,0,0,0.11,33,998,61,2,Other,6,19,3087
N/A,NA,50,FALSE,1,1,FALSE,Tampines,East Region,1.34153,103.95775,condominium,Private room,2,1,1,83,90,120,90,90,120,120,90,120,30,60,90,90,80,1,0,96,10,10,10,10,9,9,FALSE,1,0,1,0,1.01,48,999,122,2,Other,2,23,3460
N/A,NA,NA,FALSE,1,1,FALSE,Rochor,Central Region,1.30109,103.85234,apartment,Private room,2,1,1,159,180,730,180,180,730,730,180,730,30,60,90,365,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,1,0,1,0,NA,34,998,127,2,Other,1,10,3067
N/A,NA,NA,FALSE,1,1,TRUE,Queenstown,Central Region,1.30816,103.79811,house,Private room,2,1,1,100,90,1125,90,90,1125,1125,90,1125,30,60,90,90,28,0,0,90,9,9,10,10,10,9,FALSE,1,0,1,0,0.28,37,998,194,1,Other,7,9,3367
N/A,NA,NA,FALSE,0,0,FALSE,Serangoon,North-East Region,1.36743,103.87288,apartment,Private room,1,1,1,26,180,365,180,180,365,365,180,365,30,60,90,365,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,1,0,1,0,NA,21,997,171,1,Other,1,10,3005
a few days or more,29,100,FALSE,6,6,TRUE,Downtown Core,Central Region,1.27663,103.84521,condominium,Private room,4,1,1,119,4,1123,4,4,1123,1123,4,1123,23,53,83,358,72,0,0,93,9,9,9,10,10,9,TRUE,4,0,4,0,0.72,49,1000,23,1,Shared,6,27,2995
a few days or more,29,100,FALSE,6,6,TRUE,Downtown Core,Central Region,1.27585,103.84597,condominium,Private room,4,1,1,119,4,1124,4,4,1124,1124,4,1124,30,60,90,365,26,0,0,91,9,9,10,10,10,9,TRUE,4,0,4,0,0.26,49,1000,23,1,Shared,6,29,2995
within an hour,100,50,TRUE,5,5,TRUE,Marine Parade,Central Region,1.30416,103.90076,apartment,Private room,2,1,1,250,90,365,90,90,365,365,90,365,0,0,0,0,70,1,0,95,9,10,10,10,10,9,FALSE,4,2,2,0,0.71,19,728,631,1,Private,9,19,3280
within an hour,100,98,FALSE,127,127,TRUE,Outram,Central Region,1.2841,103.84253,apartment,Private room,1,1,1,69,18,365,18,18,1125,1125,18,1125,18,48,78,353,2,0,0,80,6,6,8,9,8,6,FALSE,136,2,134,0,0.02,38,1000,70,2,Shared,5,26,3149
N/A,NA,NA,FALSE,1,1,FALSE,Punggol,North-East Region,1.39963,103.9064,apartment,Private room,1,NA,0,159,1,1125,1,1,1125,1125,1,1125,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,1,0,1,0,NA,30,231,NA,0,Shared,2,1,2980
N/A,NA,NA,FALSE,1,1,TRUE,Queenstown,Central Region,1.28342,103.78585,apartment,Private room,2,1,1,128,3,60,3,3,60,60,3,60,30,60,90,365,1,0,0,100,10,10,10,10,10,10,FALSE,1,0,1,0,0.08,33,1000,227,1,Other,5,9,2972
within an hour,100,50,TRUE,5,5,TRUE,Marine Parade,Central Region,1.30492,103.90315,apartment,Entire home/apt,4,2,2,300,90,365,90,90,365,365,90,365,0,0,0,0,40,0,0,96,10,10,9,10,10,10,FALSE,4,2,2,0,0.41,28,636,631,2,Other,9,22,3280
within an hour,100,50,TRUE,5,5,TRUE,Marine Parade,Central Region,1.30425,103.90097,apartment,Private room,2,1,1,150,90,365,90,90,365,365,90,365,0,0,0,0,71,1,0,91,10,10,9,9,10,9,FALSE,4,2,2,0,0.72,19,1000,631,0.5,Private,9,22,3280
N/A,NA,NA,FALSE,1,1,TRUE,Bedok,East Region,1.31313,103.91479,apartment,Private room,1,1,1,265,1,1125,1,1,1125,1125,1,1125,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,1,0,1,0,NA,24,217,122,NA,Other,7,4,2966
N/A,NA,NA,FALSE,1,1,TRUE,Bukit Merah,Central Region,1.27681,103.82381,condominium,Private room,2,1,2,150,1,1125,1,1,1125,1125,1,1125,0,0,0,210,2,0,0,100,10,10,10,10,10,10,FALSE,1,0,1,0,0.03,30,957,76,1,Private,8,17,2945
within an hour,100,98,FALSE,127,127,TRUE,Outram,Central Region,1.28291,103.84284,apartment,Private room,1,1,1,61,18,1124,18,18,1125,1125,18,1125,27,57,87,362,3,0,0,80,8,7,9,9,9,9,FALSE,136,2,134,0,0.03,48,1000,70,1,Private,5,30,3149
within an hour,100,98,FALSE,127,127,TRUE,Kallang,Central Region,1.3123,103.8568,apartment,Private room,1,1,1,40,18,365,18,18,1125,1125,18,1125,26,56,86,361,2,0,0,90,9,8,9,9,10,8,FALSE,136,2,134,0,0.04,37,1000,70,1,Private,5,29,3149
within a day,80,0,FALSE,1,1,TRUE,Serangoon,North-East Region,1.36885,103.8731,apartment,Private room,1,1,2,68,1,30,1,1,30,30,1,30,3,30,60,335,25,0,0,97,10,10,10,10,9,9,FALSE,1,0,1,0,0.32,46,1000,661,1,Shared,5,27,2890
within an hour,100,98,FALSE,127,127,TRUE,Outram,Central Region,1.28429,103.84297,apartment,Private room,1,1,1,38,18,365,18,18,1125,1125,18,1125,25,55,85,360,7,0,0,93,10,9,10,9,10,9,FALSE,136,2,134,0,0.13,37,1000,70,1,Private,5,29,3149
within a few hours,100,80,TRUE,4,4,TRUE,Novena,Central Region,1.33334,103.8327,apartment,Private room,1,1,1,70,2,45,2,2,45,45,2,45,0,13,43,133,247,5,0,97,10,10,10,10,10,10,FALSE,1,0,1,0,2.59,23,888,1020,1,Shared,7,31,2907
within an hour,100,91,TRUE,1,1,TRUE,River Valley,Central Region,1.29245,103.83742,apartment,Entire home/apt,2,1,1,125,1,365,1,1,365,365,1,365,21,50,80,355,221,51,7,96,10,9,10,10,10,10,FALSE,1,1,0,0,2.51,20,999,28,1,Other,6,35,2838
N/A,NA,NA,FALSE,1,1,TRUE,Bedok,East Region,1.33729,103.9298,condominium,Private room,1,1,1,72,2,70,2,2,70,70,2,70,30,60,90,365,1,0,0,80,8,8,8,8,8,8,FALSE,1,0,1,0,0.02,28,583,84,1,Shared,7,22,2800
within an hour,100,98,FALSE,127,127,TRUE,Kallang,Central Region,1.31189,103.85901,apartment,Private room,1,1,1,59,18,365,18,18,1125,1125,18,1125,0,26,56,331,2,0,0,60,5,6,8,9,9,6,FALSE,136,2,134,0,0.03,41,1000,70,1,Private,5,27,3149
within a day,100,100,TRUE,2,2,TRUE,Singapore River,Central Region,1.28708,103.84444,loft,Entire home/apt,2,1,1,230,90,1125,90,90,1125,1125,90,1125,0,0,0,40,28,0,0,94,9,9,9,10,10,9,FALSE,1,1,0,0,0.32,31,999,37,1,Other,5,20,2784
within an hour,94,100,FALSE,18,18,TRUE,Tanglin,Central Region,1.31617,103.82694,apartment,Entire home/apt,5,3,4,292,7,999,7,7,999,999,7,999,30,60,90,365,44,1,0,89,9,9,10,10,9,9,TRUE,20,15,0,0,0.51,47,999,473,3,Other,7,36,2775
within an hour,94,100,FALSE,18,18,TRUE,Tanglin,Central Region,1.31503,103.82614,house,Entire home/apt,2,1,1,250,7,999,7,7,999,999,7,999,30,60,90,365,35,4,0,95,10,10,10,10,9,9,TRUE,20,15,0,0,0.4,47,999,473,1,Other,7,39,2775
within an hour,94,100,FALSE,18,18,TRUE,Tanglin,Central Region,1.31507,103.82704,apartment,Entire home/apt,3,2,2,230,7,999,7,7,999,999,7,999,29,59,89,364,33,0,0,92,9,9,10,10,9,9,TRUE,20,15,0,0,0.38,46,1000,473,2.5,Other,7,37,2775
within an hour,100,98,FALSE,127,127,TRUE,Outram,Central Region,1.2838,103.84265,apartment,Private room,1,1,1,69,90,365,90,90,365,365,90,365,28,58,88,363,4,0,0,90,10,8,10,10,10,10,FALSE,136,2,134,0,0.08,27,1000,70,1,Private,5,27,3149
within an hour,100,98,FALSE,127,127,TRUE,Kallang,Central Region,1.31213,103.8561,apartment,Private room,1,1,1,69,18,365,18,18,1125,1125,18,1125,29,59,89,364,1,0,0,100,10,10,10,10,10,10,FALSE,136,2,134,0,0.02,32,1000,70,1,Private,5,25,3149
within an hour,100,98,FALSE,127,127,TRUE,Outram,Central Region,1.28458,103.84311,apartment,Private room,1,1,1,79,90,365,90,90,1125,1125,90,1125,28,58,88,363,3,0,0,100,10,10,10,10,10,10,FALSE,136,2,134,0,0.06,41,1000,70,1,Private,5,30,3149
within a few hours,92,15,FALSE,9,9,FALSE,Queenstown,Central Region,1.2927,103.7685,house,Private room,2,1,2,54,5,1125,5,5,1125,1125,5,1125,29,59,89,364,7,0,0,99,NA,NA,NA,NA,NA,NA,FALSE,8,0,1,7,0.08,24,236,174,4,Other,3,1,2755
within a few hours,92,15,FALSE,9,9,FALSE,Queenstown,Central Region,1.2927,103.7685,apartment,Shared room,2,1,2,50,5,1125,5,5,1125,1125,5,1125,30,60,90,365,11,0,0,86,8,8,10,10,9,9,FALSE,8,0,1,7,0.19,35,324,174,4,Shared,3,5,2755
within an hour,100,91,TRUE,16,16,FALSE,Geylang,Central Region,1.31511,103.88947,apartment,Entire home/apt,5,1,3,119,30,1125,30,30,1125,1125,30,1125,29,59,89,364,88,2,0,98,10,10,10,10,9,9,FALSE,7,7,0,0,0.96,50,1000,389,1.5,Other,3,35,2748
within an hour,100,98,FALSE,127,127,TRUE,Outram,Central Region,1.28386,103.84238,apartment,Private room,1,1,1,69,90,365,90,90,1125,1125,90,1125,1,1,1,1,3,0,0,80,9,6,9,9,10,9,FALSE,136,2,134,0,0.03,50,999,70,1,Private,5,29,3149
within a day,100,50,FALSE,0,0,TRUE,Bedok,East Region,1.32889,103.908,house,Private room,3,1,1,80,14,180,14,14,180,180,14,180,29,59,89,364,97,0,0,91,9,10,10,10,9,9,FALSE,1,0,1,0,1.06,31,994,982,1,Private,7,25,2721
within a few hours,100,50,FALSE,1,1,TRUE,Pasir Ris,East Region,1.38055,103.94406,earth house,Private room,2,1,1,80,2,1125,2,2,1125,1125,2,1125,30,60,90,365,9,1,0,93,9,10,10,10,8,9,FALSE,1,0,1,0,0.1,34,280,76,1,Other,8,10,2704
within an hour,100,98,FALSE,127,127,TRUE,Kallang,Central Region,1.30774,103.86332,apartment,Private room,1,1,0,25,18,365,18,18,365,365,18,365,27,57,87,362,8,0,0,80,8,9,10,9,10,8,FALSE,136,2,134,0,0.1,36,1000,70,3,Shared,5,27,3149
N/A,NA,NA,FALSE,1,1,FALSE,Novena,Central Region,1.32359,103.8498,house,Private room,4,1,4,30,108,1125,108,108,1125,1125,108,1125,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,1,0,1,0,NA,24,885,NA,1,Other,2,6,2691
a few days or more,25,NA,FALSE,2,2,TRUE,Kallang,Central Region,1.31118,103.87367,townhouse,Entire home/apt,8,4,12,130,14,21,14,14,21,21,14,21,30,60,90,365,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1,0,0,NA,20,1000,36,4,Other,8,15,2685
N/A,NA,NA,FALSE,1,1,FALSE,Bukit Merah,Central Region,1.28419,103.82765,apartment,Private room,1,1,1,60,183,365,183,183,365,365,183,365,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,1,0,1,0,NA,31,763,512,1,Other,2,10,2678
within an hour,100,98,FALSE,127,127,TRUE,Outram,Central Region,1.2841,103.84253,apartment,Private room,1,1,1,79,18,365,18,18,1125,1125,18,1125,25,55,85,360,4,1,0,85,10,9,10,10,10,8,FALSE,136,2,134,0,0.11,36,1000,70,1.5,Other,5,30,3149
a few days or more,0,NA,FALSE,1,1,FALSE,Geylang,Central Region,1.31181,103.8966,apartment,Private room,2,1,1,120,1,1125,1,1,1125,1125,1,1125,30,60,90,365,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,1,0,1,0,NA,31,636,32,1,Other,2,11,2673
N/A,NA,NA,FALSE,1,1,TRUE,Ang Mo Kio,North-East Region,1.39088,103.85303,house,Private room,3,1,2,216,1,1125,1,1,1125,1125,1,1125,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,1,0,1,0,NA,27,205,NA,1,Other,6,4,2671
N/A,NA,NA,FALSE,1,1,FALSE,Bukit Batok,West Region,1.34126,103.75992,apartment,Private room,1,1,1,78,14,1125,14,14,1125,1125,14,1125,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,1,0,1,0,NA,30,655,NA,1,Other,2,6,2671
within an hour,100,100,TRUE,1,1,TRUE,Novena,Central Region,1.33917,103.82306,guest suite,Private room,2,1,1,87,90,90,90,90,1125,1125,90,1125,28,58,70,71,91,1,0,96,10,10,10,10,9,9,TRUE,2,0,2,0,1.03,35,913,494,1,Private,5,33,2670
N/A,NA,NA,FALSE,7,7,FALSE,Rochor,Central Region,1.30292,103.858,bed and breakfast,Private room,3,1,3,90,1,1125,1,1,1125,1125,1,1125,0,0,0,0,2,0,0,80,7,7,9,8,9,8,FALSE,7,0,7,0,0.05,31,985,276,8,Other,3,1,2669
within a few hours,100,100,FALSE,5,5,TRUE,Outram,Central Region,1.28405,103.84424,bed and breakfast,Shared room,1,1,1,51,1,365,1,1,1,365,1,47.8,0,0,26,275,150,2,0,91,9,9,10,10,10,9,TRUE,5,0,0,1,1.71,35,998,1843,0,Shared,3,25,2664
within a few hours,100,100,FALSE,5,5,TRUE,Outram,Central Region,1.28405,103.84424,bed and breakfast,Hotel room,6,1,6,275,1,365,1,1,30,365,1,50.5,0,0,26,275,2,0,0,90,10,9,10,10,10,10,TRUE,5,0,0,1,0.03,33,1000,1843,0,Other,3,26,2664
within a few hours,100,100,FALSE,5,5,TRUE,Outram,Central Region,1.28405,103.84424,bed and breakfast,Hotel room,1,1,1,51,1,365,1,1,1,365,1,47.8,0,0,26,275,93,2,0,93,10,9,10,10,10,9,TRUE,5,0,0,1,1.09,29,998,1843,0,Other,3,24,2664
within a few hours,100,98,FALSE,75,75,TRUE,Outram,Central Region,1.28466,103.84255,apartment,Private room,1,1,1,69,18,365,18,18,1125,1125,18,1125,8,38,68,343,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,108,2,106,0,NA,33,1000,84,1,Private,7,27,2660
within a day,75,25,TRUE,1,1,TRUE,Museum,Central Region,1.29947,103.84661,condominium,Entire home/apt,4,3,3,180,120,365,120,120,365,365,120,365,28,58,88,363,16,0,0,97,10,10,10,10,10,9,FALSE,1,1,0,0,0.2,50,998,112,2,Other,6,27,2655
within an hour,100,98,FALSE,127,127,TRUE,Outram,Central Region,1.2841,103.84253,apartment,Private room,1,1,1,33,18,365,18,18,1125,1125,18,1125,14,44,74,349,3,0,0,80,7,6,9,9,9,8,FALSE,136,2,134,0,0.06,37,1000,70,1,Private,5,28,3149
within an hour,100,98,FALSE,127,127,TRUE,Kallang,Central Region,1.31266,103.85684,apartment,Private room,1,1,0,49,18,365,18,18,365,365,18,365,25,55,85,360,2,0,0,60,8,7,9,9,9,8,FALSE,136,2,134,0,0.02,35,999,70,2,Shared,5,27,3149
within an hour,100,100,FALSE,23,23,TRUE,Newton,Central Region,1.30626,103.83994,apartment,Private room,2,1,1,86,90,1125,90,90,1125,1125,90,1125,27,57,87,334,13,1,0,89,8,8,9,9,10,8,FALSE,19,1,18,0,0.28,31,590,567,1,Private,5,20,2541
within an hour,100,100,FALSE,8,8,TRUE,Tampines,East Region,1.34566,103.95994,house,Private room,3,1,1,93,90,1125,90,90,1125,1125,90,1125,30,60,90,365,10,0,0,90,9,8,9,9,9,9,TRUE,8,0,8,0,0.13,33,999,772,1,Shared,5,23,3625
within an hour,94,100,FALSE,18,18,TRUE,Tanglin,Central Region,1.31742,103.82572,serviced apartment,Hotel room,2,1,1,161,7,365,7,7,365,365,7,365,30,60,90,365,28,1,0,96,10,9,10,10,9,9,TRUE,20,15,0,0,0.33,34,1000,473,1,Other,7,37,2775
N/A,NA,NA,FALSE,2,2,FALSE,Bedok,East Region,1.31993,103.92342,townhouse,Private room,1,1,1,95,2,1125,2,2,1125,1125,2,1125,30,60,90,365,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0,2,0,NA,31,906,163,NA,Other,2,16,3087
within an hour,100,100,FALSE,8,8,TRUE,Tampines,East Region,1.34574,103.95945,house,Private room,8,2,8,239,90,1125,90,90,1125,1125,90,1125,30,60,90,365,7,1,0,86,9,7,10,10,10,10,FALSE,8,0,8,0,0.15,35,993,772,1,Private,5,30,3625
within an hour,100,98,FALSE,127,127,TRUE,Geylang,Central Region,1.31539,103.88257,apartment,Private room,1,1,1,59,18,365,18,18,1125,1125,18,1125,29,59,89,364,1,0,0,100,10,10,10,10,10,10,FALSE,136,2,134,0,0.02,43,1000,70,3,Shared,5,28,3149
N/A,NA,NA,FALSE,3,3,TRUE,Bedok,East Region,1.31944,103.91529,house,Private room,1,1,1,49,90,1125,90,90,1125,1125,90,1125,23,53,83,173,3,0,0,93,10,10,10,10,10,9,FALSE,3,0,3,0,0.04,35,1000,33,1,Other,5,8,2720
N/A,NA,NA,FALSE,3,3,TRUE,Bedok,East Region,1.32249,103.92316,house,Private room,2,1,1,60,90,1125,90,90,1125,1125,90,1125,23,53,83,173,2,0,0,100,9,9,9,9,9,9,FALSE,3,0,3,0,0.03,34,1000,33,1,Other,5,6,2720
a few days or more,29,100,FALSE,6,6,TRUE,Downtown Core,Central Region,1.27539,103.84491,condominium,Private room,4,1,1,119,4,1123,4,4,1123,1123,4,1123,23,53,83,358,77,0,0,90,9,9,10,9,10,9,TRUE,4,0,4,0,0.92,49,1000,23,1,Shared,6,42,2995
N/A,NA,NA,FALSE,1,1,TRUE,Bukit Merah,Central Region,1.2902,103.80827,apartment,Entire home/apt,2,1,1,132,183,1125,183,183,1125,1125,183,1125,23,53,83,358,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,1,1,0,0,NA,35,1000,45,2,Other,7,9,2591
N/A,NA,NA,FALSE,3,3,TRUE,Bedok,East Region,1.32111,103.92206,house,Private room,1,1,1,68,90,1125,90,90,1125,1125,90,1125,23,53,83,173,5,0,0,96,10,10,10,10,9,9,FALSE,3,0,3,0,0.06,35,1000,33,1,Other,5,5,2720
N/A,NA,NA,FALSE,2,2,FALSE,Bedok,East Region,1.31963,103.924,house,Private room,1,1,4,95,3,1125,3,3,1125,1125,3,1125,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,2,0,2,0,NA,35,652,163,4,Other,2,2,3087
N/A,NA,NA,FALSE,3,3,TRUE,Novena,Central Region,1.32359,103.85063,apartment,Private room,1,1,2,343,30,160,30,30,160,160,30,160,23,53,83,173,2,0,0,70,4,6,8,10,6,5,TRUE,3,0,3,0,0.02,35,996,41,2,Other,6,8,2610
N/A,NA,NA,FALSE,1,1,TRUE,Choa Chu Kang,West Region,1.38768,103.74476,condominium,Entire home/apt,4,3,4,95,88,1125,88,88,1125,1125,88,1125,0,0,0,211,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,1,1,0,0,NA,35,996,14,2,Other,8,27,2632
N/A,NA,NA,FALSE,3,3,TRUE,Novena,Central Region,1.32347,103.85213,apartment,Private room,1,1,1,287,5,160,5,5,160,160,5,160,30,60,90,180,11,0,0,84,9,8,9,10,9,9,FALSE,3,0,3,0,0.14,28,995,41,2,Other,6,7,2610
N/A,NA,NA,FALSE,2,2,TRUE,Choa Chu Kang,West Region,1.38686,103.74468,condominium,Private room,1,1,1,53,4,10000,4,4,10000,10000,4,10000,0,0,0,5,29,0,0,99,10,10,10,10,9,9,FALSE,1,0,1,0,0.34,34,1000,155,1,Private,6,24,2571
within a few hours,100,80,FALSE,1,1,TRUE,Bedok,East Region,1.32122,103.91492,townhouse,Entire home/apt,5,1,3,115,92,1124,92,92,1124,1124,92,1124,30,60,90,365,370,7,0,99,10,10,10,10,10,10,FALSE,1,1,0,0,4.32,32,1000,17,1,Other,5,30,2720
N/A,NA,NA,FALSE,3,3,TRUE,Novena,Central Region,1.32423,103.85293,apartment,Private room,2,1,1,216,3,160,3,3,160,160,3,160,26,56,86,176,21,0,0,93,9,9,9,9,9,9,FALSE,3,0,3,0,0.28,24,995,41,2,Other,6,9,2610
within an hour,100,67,TRUE,2,2,FALSE,Hougang,North-East Region,1.36867,103.89905,apartment,Private room,1,1,1,50,90,1125,90,90,1125,1125,90,1125,0,0,26,301,13,2,0,95,9,9,10,10,8,9,FALSE,2,0,2,0,0.17,31,788,647,1.5,Shared,3,35,2803
a few days or more,44,0,FALSE,4,4,TRUE,Geylang,Central Region,1.31263,103.88065,apartment,Private room,2,1,1,60,90,1125,90,90,1125,1125,90,1125,23,53,83,358,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,3,0,3,0,NA,28,1000,364,1,Other,8,15,2743
N/A,NA,NA,FALSE,1,1,FALSE,Woodlands,North Region,1.44076,103.77626,apartment,Private room,1,1,1,30,183,9001,183,183,9001,9001,183,9001,0,0,0,0,5,0,0,95,10,9,10,9,9,10,FALSE,1,0,1,0,0.06,24,648,21,1,Other,3,7,2526
N/A,NA,NA,FALSE,1,1,FALSE,Singapore River,Central Region,1.29041,103.83482,apartment,Entire home/apt,2,1,1,150,365,1125,365,365,1125,1125,365,1125,30,60,90,365,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,1,1,0,0,NA,32,245,169,1,Other,1,9,2521
