host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,name_length,description_length,host_about_length,bathroom,bathroom_type,host_verifications_count,amenities_count,days_joined
N/A,NA,60,FALSE,2,2,TRUE,Downtown Core,Central Region,1.28219,103.85369,condominium,Entire home/apt,1,1,1,400,1,1125,1,1,1125,1125,1,1125,29,59,89,179,1,1,0,NA,NA,NA,NA,NA,NA,NA,FALSE,1,1,0,0,0.08,50,807,12,1.5,Other,8,16,1501
within an hour,95,100,FALSE,68,68,TRUE,Kallang,Central Region,1.31093,103.85991,apartment,Private room,1,1,1,40,18,1125,18,18,1125,1125,18,1125,3,26,56,331,2,2,0,100,9,9,10,10,10,10,TRUE,79,1,78,0,0.65,45,1000,84,1,Private,5,31,1550
within an hour,100,46,FALSE,6,6,FALSE,Kallang,Central Region,1.31078,103.85928,bed and breakfast,Private room,8,1,8,209,1,1125,1,1,1125,1125,1,1125,29,59,89,364,1,0,0,100,10,10,10,10,10,10,FALSE,6,0,5,1,0.08,43,870,324,1,Private,1,14,365
a few days or more,0,NA,FALSE,1,1,TRUE,Queenstown,Central Region,1.30431,103.78379,condominium,Private room,1,1,1,60,180,1125,180,180,1125,1125,180,1125,30,60,90,365,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0,1,0,NA,45,532,376,0.5,Shared,8,19,1779
within an hour,100,46,FALSE,6,6,FALSE,Kallang,Central Region,1.31135,103.8607,bed and breakfast,Private room,6,1,6,166,1,1125,1,1,1125,1125,1,1125,30,60,90,365,2,1,0,60,5,7,8,9,7,5,FALSE,6,0,5,1,0.16,43,870,324,1,Private,1,15,365
within a day,100,100,TRUE,1,1,TRUE,Geylang,Central Region,1.31094,103.87813,condominium,Entire home/apt,12,5,5,172,5,1125,5,5,1125,1125,5,1125,0,0,27,117,11,4,0,98,10,9,10,10,9,10,FALSE,1,1,0,0,0.85,37,999,5,3,Other,6,33,364
within an hour,100,89,TRUE,8,8,TRUE,Geylang,Central Region,1.31222,103.88439,condominium,Private room,2,1,1,46,90,1125,90,90,1125,1125,90,1125,0,0,0,270,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,6,0,6,0,NA,49,873,85,1,Private,6,22,1888
within an hour,100,98,FALSE,127,127,TRUE,Kallang,Central Region,1.31154,103.86021,apartment,Private room,1,1,1,25,18,1125,18,18,1125,1125,18,1125,26,56,86,361,1,0,0,100,10,10,10,10,10,10,FALSE,136,2,134,0,0.08,36,1000,70,3,Shared,5,28,3149
within an hour,93,100,FALSE,56,56,TRUE,Kallang,Central Region,1.31003,103.8614,apartment,Private room,1,1,1,22,18,1125,6,18,1125,1125,17.9,1125,26,56,86,361,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,68,1,67,0,NA,48,1000,111,3,Shared,7,28,904
within an hour,93,100,FALSE,56,56,TRUE,Kallang,Central Region,1.31027,103.86005,apartment,Private room,1,1,1,22,18,1125,18,18,1125,1125,18,1125,26,56,86,361,1,1,0,100,10,8,10,10,10,10,TRUE,68,1,67,0,0.09,48,1000,111,3,Shared,7,28,904
within an hour,93,99,FALSE,23,23,TRUE,River Valley,Central Region,1.29502,103.8399,condominium,Entire home/apt,2,1,1,111,2,1125,1,2,1125,1125,1.9,1125,1,1,1,1,6,6,1,93,9,9,9,10,10,9,FALSE,14,10,2,0,0.59,46,1000,12,1,Other,6,26,1763
within an hour,100,46,FALSE,6,6,FALSE,Kallang,Central Region,1.31239,103.86086,bed and breakfast,Private room,4,1,4,106,1,1125,1,1,1125,1125,1,1125,30,60,90,365,2,2,0,80,8,8,9,9,9,8,FALSE,6,0,5,1,0.17,47,799,324,2,Shared,1,15,365
